-----Epoch 0 开始训练-----

Total step : 100      Batch loss: 8.7398      Epoch average loss: 9.1253
Total step : 81900      Batch loss: 3.4037      Epoch average loss: 2.1013
Total step : 82000      Batch loss: 1.9294      Epoch average loss: 2.1010
Total step : 82100      Batch loss: 1.9481      Epoch average loss: 2.1011
Total step : 82200      Batch loss: 1.5733      Epoch average loss: 2.1012
Total step : 82300      Batch loss: 1.8312      Epoch average loss: 2.1010
Total step : 82400      Batch loss: 1.5446      Epoch average loss: 2.1007
Total step : 82500      Batch loss: 1.6935      Epoch average loss: 2.1008
Total step : 82600      Batch loss: 1.5059      Epoch average loss: 2.1007
Total step : 82700      Batch loss: 1.7772      Epoch average loss: 2.1005
Total step : 82800      Batch loss: 1.6722      Epoch average loss: 2.1001
Total step : 82900      Batch loss: 1.2195      Epoch average loss: 2.0999
Total step : 83000      Batch loss: 2.1248      Epoch average loss: 2.0997
Total step : 83100      Batch loss: 1.8436      Epoch average loss: 2.0996
Total step : 83200      Batch loss: 3.5851      Epoch average loss: 2.0995
Total step : 83300      Batch loss: 2.1992      Epoch average loss: 2.0993
Total step : 83400      Batch loss: 1.8693      Epoch average loss: 2.0992
Total step : 83500      Batch loss: 1.6920      Epoch average loss: 2.0993
Total step : 83600      Batch loss: 1.9421      Epoch average loss: 2.0993
Total step : 83700      Batch loss: 2.1731      Epoch average loss: 2.0992
Total step : 83800      Batch loss: 1.7182      Epoch average loss: 2.0991
Total step : 83900      Batch loss: 3.1796      Epoch average loss: 2.0990
Total step : 84000      Batch loss: 1.5188      Epoch average loss: 2.0992
Total step : 84100      Batch loss: 3.0674      Epoch average loss: 2.0991
Total step : 84200      Batch loss: 1.6723      Epoch average loss: 2.0990
Total step : 84300      Batch loss: 1.7850      Epoch average loss: 2.0991
Total step : 84400      Batch loss: 2.7638      Epoch average loss: 2.0991
Total step : 84500      Batch loss: 2.0143      Epoch average loss: 2.0990
Total step : 84600      Batch loss: 1.8912      Epoch average loss: 2.0989
Total step : 84700      Batch loss: 1.9664      Epoch average loss: 2.0987
Total step : 84800      Batch loss: 2.1492      Epoch average loss: 2.0988
Total step : 84900      Batch loss: 1.8133      Epoch average loss: 2.0985
Total step : 85000      Batch loss: 1.5939      Epoch average loss: 2.0985
Total step : 85100      Batch loss: 1.9747      Epoch average loss: 2.0982
Total step : 85200      Batch loss: 1.6710      Epoch average loss: 2.0980
Total step : 85300      Batch loss: 1.6176      Epoch average loss: 2.0982
Total step : 85400      Batch loss: 1.9869      Epoch average loss: 2.0982
Total step : 85500      Batch loss: 1.6594      Epoch average loss: 2.0979
Total step : 85600      Batch loss: 1.7641      Epoch average loss: 2.0978
Total step : 85700      Batch loss: 2.0161      Epoch average loss: 2.0977
Total step : 85800      Batch loss: 1.4032      Epoch average loss: 2.0975
Total step : 85900      Batch loss: 1.5366      Epoch average loss: 2.0974
Total step : 86000      Batch loss: 2.5014      Epoch average loss: 2.0975
Total step : 86100      Batch loss: 3.7334      Epoch average loss: 2.0974
Total step : 86200      Batch loss: 1.6923      Epoch average loss: 2.0973
Total step : 86300      Batch loss: 1.7175      Epoch average loss: 2.0973
Total step : 86400      Batch loss: 2.0269      Epoch average loss: 2.0971
Total step : 86500      Batch loss: 1.9344      Epoch average loss: 2.0970
Total step : 86600      Batch loss: 1.8792      Epoch average loss: 2.0970
Total step : 86700      Batch loss: 2.1736      Epoch average loss: 2.0970
Total step : 86800      Batch loss: 1.8268      Epoch average loss: 2.0968
Total step : 86900      Batch loss: 1.7933      Epoch average loss: 2.0966
Total step : 87000      Batch loss: 3.6619      Epoch average loss: 2.0964
Total step : 87100      Batch loss: 3.7474      Epoch average loss: 2.0962
Total step : 87200      Batch loss: 1.9647      Epoch average loss: 2.0962
Total step : 87300      Batch loss: 1.7469      Epoch average loss: 2.0961
Total step : 87400      Batch loss: 1.7269      Epoch average loss: 2.0961
Total step : 87500      Batch loss: 2.4584      Epoch average loss: 2.0961
Total step : 87600      Batch loss: 2.1398      Epoch average loss: 2.0959
Total step : 87700      Batch loss: 1.6409      Epoch average loss: 2.0958
Total step : 87800      Batch loss: 1.5881      Epoch average loss: 2.0955
Total step : 87900      Batch loss: 1.6700      Epoch average loss: 2.0955
Total step : 88000      Batch loss: 1.6292      Epoch average loss: 2.0954
Total step : 88100      Batch loss: 1.6984      Epoch average loss: 2.0955
Total step : 88200      Batch loss: 1.7631      Epoch average loss: 2.0954
Total step : 88300      Batch loss: 1.8416      Epoch average loss: 2.0956
Total step : 88400      Batch loss: 2.1507      Epoch average loss: 2.0955
Total step : 88500      Batch loss: 1.7185      Epoch average loss: 2.0954
Total step : 88600      Batch loss: 1.6103      Epoch average loss: 2.0951
Total step : 88700      Batch loss: 2.1905      Epoch average loss: 2.0952
Total step : 88800      Batch loss: 1.7882      Epoch average loss: 2.0951
Total step : 88900      Batch loss: 1.8667      Epoch average loss: 2.0949
Total step : 89000      Batch loss: 2.1312      Epoch average loss: 2.0949
Total step : 89100      Batch loss: 1.7310      Epoch average loss: 2.0948
Total step : 89200      Batch loss: 1.8518      Epoch average loss: 2.0945
Total step : 89300      Batch loss: 1.9299      Epoch average loss: 2.0944
Total step : 89400      Batch loss: 1.9263      Epoch average loss: 2.0942
Total step : 89500      Batch loss: 1.6955      Epoch average loss: 2.0940
Total step : 89600      Batch loss: 3.5097      Epoch average loss: 2.0938
Total step : 89700      Batch loss: 1.6387      Epoch average loss: 2.0939
Total step : 89800      Batch loss: 0.8067      Epoch average loss: 2.0940
Total step : 89900      Batch loss: 1.8751      Epoch average loss: 2.0939
Total step : 90000      Batch loss: 1.7495      Epoch average loss: 2.0938
Total step : 90100      Batch loss: 1.8990      Epoch average loss: 2.0936
Total step : 90200      Batch loss: 1.6401      Epoch average loss: 2.0935
Total step : 90300      Batch loss: 1.5926      Epoch average loss: 2.0936
Total step : 90400      Batch loss: 0.5195      Epoch average loss: 2.0936
Total step : 90500      Batch loss: 1.9265      Epoch average loss: 2.0934
Total step : 90600      Batch loss: 1.8108      Epoch average loss: 2.0934
Total step : 90700      Batch loss: 1.6598      Epoch average loss: 2.0932
Total step : 90800      Batch loss: 1.8869      Epoch average loss: 2.0931
Total step : 90900      Batch loss: 3.4885      Epoch average loss: 2.0932
Total step : 91000      Batch loss: 3.1580      Epoch average loss: 2.0930
Total step : 91100      Batch loss: 3.6398      Epoch average loss: 2.0929
Total step : 91200      Batch loss: 3.3580      Epoch average loss: 2.0928
Total step : 91300      Batch loss: 1.7549      Epoch average loss: 2.0926
Total step : 91400      Batch loss: 1.9978      Epoch average loss: 2.0925
Total step : 91500      Batch loss: 1.8665      Epoch average loss: 2.0926
Total step : 91600      Batch loss: 1.9781      Epoch average loss: 2.0927
Total step : 91700      Batch loss: 1.8218      Epoch average loss: 2.0926
Total step : 91800      Batch loss: 1.6558      Epoch average loss: 2.0928
Total step : 91900      Batch loss: 2.0052      Epoch average loss: 2.0927
Total step : 92000      Batch loss: 1.9819      Epoch average loss: 2.0927
Total step : 92100      Batch loss: 2.3798      Epoch average loss: 2.0925
Total step : 92200      Batch loss: 1.7695      Epoch average loss: 2.0923
Total step : 92300      Batch loss: 1.6890      Epoch average loss: 2.0920
Total step : 92400      Batch loss: 1.7389      Epoch average loss: 2.0919
Total step : 92500      Batch loss: 1.8963      Epoch average loss: 2.0919
Total step : 92600      Batch loss: 1.9789      Epoch average loss: 2.0917
Total step : 92700      Batch loss: 1.6608      Epoch average loss: 2.0916
Total step : 92800      Batch loss: 2.0507      Epoch average loss: 2.0916
Total step : 92900      Batch loss: 2.3248      Epoch average loss: 2.0914
Total step : 93000      Batch loss: 1.6511      Epoch average loss: 2.0912
Total step : 93100      Batch loss: 1.8069      Epoch average loss: 2.0909
Total step : 93200      Batch loss: 2.6123      Epoch average loss: 2.0910
Total step : 93300      Batch loss: 1.7792      Epoch average loss: 2.0911
Total step : 93400      Batch loss: 2.2103      Epoch average loss: 2.0910
Total step : 93500      Batch loss: 3.6373      Epoch average loss: 2.0910
Total step : 93600      Batch loss: 2.3007      Epoch average loss: 2.0908
Total step : 93700      Batch loss: 1.9276      Epoch average loss: 2.0908
Total step : 93800      Batch loss: 2.9115      Epoch average loss: 2.0906
Total step : 93900      Batch loss: 2.2154      Epoch average loss: 2.0906
Total step : 94000      Batch loss: 1.6491      Epoch average loss: 2.0905
Total step : 94100      Batch loss: 3.2644      Epoch average loss: 2.0904
Total step : 94200      Batch loss: 2.1801      Epoch average loss: 2.0903
Total step : 94300      Batch loss: 1.9279      Epoch average loss: 2.0903
Total step : 94400      Batch loss: 2.0069      Epoch average loss: 2.0900
Total step : 94500      Batch loss: 3.7612      Epoch average loss: 2.0899
Total step : 94600      Batch loss: 2.0838      Epoch average loss: 2.0899
Total step : 94700      Batch loss: 1.8317      Epoch average loss: 2.0898
Total step : 94800      Batch loss: 1.9383      Epoch average loss: 2.0898
Total step : 94900      Batch loss: 2.1843      Epoch average loss: 2.0897
Total step : 95000      Batch loss: 1.7741      Epoch average loss: 2.0896
Total step : 95100      Batch loss: 3.7137      Epoch average loss: 2.0896
Total step : 95200      Batch loss: 1.5962      Epoch average loss: 2.0895
Total step : 95300      Batch loss: 1.7153      Epoch average loss: 2.0895
Total step : 95400      Batch loss: 1.6937      Epoch average loss: 2.0894
Total step : 95500      Batch loss: 1.9006      Epoch average loss: 2.0894
Total step : 95600      Batch loss: 1.6645      Epoch average loss: 2.0892
Total step : 95700      Batch loss: 1.8562      Epoch average loss: 2.0891
Total step : 95800      Batch loss: 1.9622      Epoch average loss: 2.0891
Total step : 95900      Batch loss: 3.0476      Epoch average loss: 2.0890
Total step : 96000      Batch loss: 1.7910      Epoch average loss: 2.0889
Total step : 96100      Batch loss: 0.8744      Epoch average loss: 2.0887
Total step : 96200      Batch loss: 1.4883      Epoch average loss: 2.0887
Total step : 96300      Batch loss: 1.8792      Epoch average loss: 2.0887
Total step : 96400      Batch loss: 1.9453      Epoch average loss: 2.0887
Total step : 96500      Batch loss: 2.0398      Epoch average loss: 2.0886
Total step : 96600      Batch loss: 1.8034      Epoch average loss: 2.0885
Total step : 96700      Batch loss: 1.8425      Epoch average loss: 2.0885
Total step : 96800      Batch loss: 1.6158      Epoch average loss: 2.0883
Total step : 96900      Batch loss: 1.5013      Epoch average loss: 2.0881
Total step : 97000      Batch loss: 3.3179      Epoch average loss: 2.0879

-----Epoch 1 开始测试-----

Epoch: 1    BLEU: 0.2676

-----Epoch 2 开始训练-----

Total step : 97100      Batch loss: 4.0059      Epoch average loss: 2.0406
Total step : 97200      Batch loss: 2.0765      Epoch average loss: 1.9264
Total step : 97300      Batch loss: 1.9577      Epoch average loss: 1.9510
Total step : 97400      Batch loss: 1.8085      Epoch average loss: 1.9378
Total step : 97500      Batch loss: 1.7575      Epoch average loss: 1.9509
Total step : 97600      Batch loss: 2.1040      Epoch average loss: 1.9739
Total step : 97700      Batch loss: 1.8825      Epoch average loss: 1.9838
Total step : 97800      Batch loss: 1.6734      Epoch average loss: 1.9860
Total step : 97900      Batch loss: 2.2038      Epoch average loss: 1.9866
Total step : 98000      Batch loss: 1.4370      Epoch average loss: 1.9882
Total step : 98100      Batch loss: 1.7054      Epoch average loss: 1.9950
Total step : 98200      Batch loss: 1.7743      Epoch average loss: 1.9976
Total step : 98300      Batch loss: 1.5773      Epoch average loss: 2.0030
Total step : 98400      Batch loss: 1.7775      Epoch average loss: 2.0098
Total step : 98500      Batch loss: 1.7309      Epoch average loss: 2.0054
Total step : 98600      Batch loss: 1.7926      Epoch average loss: 2.0109
Total step : 98700      Batch loss: 2.0211      Epoch average loss: 2.0127
Total step : 98800      Batch loss: 1.7798      Epoch average loss: 2.0130
Total step : 98900      Batch loss: 1.6151      Epoch average loss: 2.0169
Total step : 99000      Batch loss: 1.7199      Epoch average loss: 2.0188
Total step : 99100      Batch loss: 1.9273      Epoch average loss: 2.0206
Total step : 99200      Batch loss: 1.6592      Epoch average loss: 2.0207
Total step : 99300      Batch loss: 1.8140      Epoch average loss: 2.0191
Total step : 99400      Batch loss: 2.1849      Epoch average loss: 2.0193
Total step : 99500      Batch loss: 2.3630      Epoch average loss: 2.0221
Total step : 99600      Batch loss: 1.8123      Epoch average loss: 2.0242
Total step : 99700      Batch loss: 1.8399      Epoch average loss: 2.0231
Total step : 99800      Batch loss: 2.1193      Epoch average loss: 2.0231
Total step : 99900      Batch loss: 1.8216      Epoch average loss: 2.0224
Total step : 100000      Batch loss: 1.8393      Epoch average loss: 2.0207
Total step : 100100      Batch loss: 1.4559      Epoch average loss: 2.0204
Total step : 100200      Batch loss: 1.9072      Epoch average loss: 2.0163
Total step : 100300      Batch loss: 1.7122      Epoch average loss: 2.0146
Total step : 100400      Batch loss: 1.4718      Epoch average loss: 2.0137
Total step : 100500      Batch loss: 1.6408      Epoch average loss: 2.0144
Total step : 100600      Batch loss: 2.5229      Epoch average loss: 2.0150
Total step : 100700      Batch loss: 1.8777      Epoch average loss: 2.0170
Total step : 100800      Batch loss: 1.6832      Epoch average loss: 2.0173
Total step : 100900      Batch loss: 1.7778      Epoch average loss: 2.0170
Total step : 101000      Batch loss: 1.8420      Epoch average loss: 2.0171
Total step : 101100      Batch loss: 1.9874      Epoch average loss: 2.0146
Total step : 101200      Batch loss: 2.7572      Epoch average loss: 2.0148
Total step : 101300      Batch loss: 1.7253      Epoch average loss: 2.0157
Total step : 101400      Batch loss: 1.7322      Epoch average loss: 2.0146
Total step : 101500      Batch loss: 1.5897      Epoch average loss: 2.0144
Total step : 101600      Batch loss: 1.6654      Epoch average loss: 2.0143
Total step : 101700      Batch loss: 1.6581      Epoch average loss: 2.0145
Total step : 101800      Batch loss: 2.6387      Epoch average loss: 2.0148
Total step : 101900      Batch loss: 3.4642      Epoch average loss: 2.0154
Total step : 102000      Batch loss: 1.8006      Epoch average loss: 2.0129
Total step : 102100      Batch loss: 1.7872      Epoch average loss: 2.0120
Total step : 102200      Batch loss: 2.4407      Epoch average loss: 2.0123
Total step : 102300      Batch loss: 2.2000      Epoch average loss: 2.0132
Total step : 102400      Batch loss: 1.9459      Epoch average loss: 2.0143
Total step : 102500      Batch loss: 3.5672      Epoch average loss: 2.0149
Total step : 102600      Batch loss: 3.5923      Epoch average loss: 2.0148
Total step : 102700      Batch loss: 1.8890      Epoch average loss: 2.0156
Total step : 102800      Batch loss: 2.1288      Epoch average loss: 2.0165
Total step : 102900      Batch loss: 1.9144      Epoch average loss: 2.0164
Total step : 103000      Batch loss: 2.2516      Epoch average loss: 2.0164
Total step : 103100      Batch loss: 1.8005      Epoch average loss: 2.0154
Total step : 103200      Batch loss: 1.5708      Epoch average loss: 2.0153
Total step : 103300      Batch loss: 3.7589      Epoch average loss: 2.0151
Total step : 103400      Batch loss: 2.1236      Epoch average loss: 2.0160
Total step : 103500      Batch loss: 1.6197      Epoch average loss: 2.0158
Total step : 103600      Batch loss: 1.8814      Epoch average loss: 2.0150
Total step : 103700      Batch loss: 2.2019      Epoch average loss: 2.0134
Total step : 103800      Batch loss: 1.6564      Epoch average loss: 2.0147
Total step : 103900      Batch loss: 2.1724      Epoch average loss: 2.0166
Total step : 104000      Batch loss: 3.7600      Epoch average loss: 2.0179
Total step : 104100      Batch loss: 2.6836      Epoch average loss: 2.0173
Total step : 104200      Batch loss: 1.9419      Epoch average loss: 2.0164
Total step : 104300      Batch loss: 1.5803      Epoch average loss: 2.0158
Total step : 104400      Batch loss: 1.7580      Epoch average loss: 2.0145
Total step : 104500      Batch loss: 1.8068      Epoch average loss: 2.0147
Total step : 104600      Batch loss: 1.6518      Epoch average loss: 2.0146
Total step : 104700      Batch loss: 3.7874      Epoch average loss: 2.0146
Total step : 104800      Batch loss: 1.4275      Epoch average loss: 2.0145
Total step : 104900      Batch loss: 1.4858      Epoch average loss: 2.0159
Total step : 105000      Batch loss: 1.6861      Epoch average loss: 2.0161
Total step : 105100      Batch loss: 2.4111      Epoch average loss: 2.0159
Total step : 105200      Batch loss: 2.0225      Epoch average loss: 2.0159
Total step : 105300      Batch loss: 2.0686      Epoch average loss: 2.0167
Total step : 105400      Batch loss: 3.6969      Epoch average loss: 2.0178
Total step : 105500      Batch loss: 1.4326      Epoch average loss: 2.0180
Total step : 105600      Batch loss: 1.7311      Epoch average loss: 2.0186
Total step : 105700      Batch loss: 1.8417      Epoch average loss: 2.0189
Total step : 105800      Batch loss: 3.5247      Epoch average loss: 2.0192
Total step : 105900      Batch loss: 1.8760      Epoch average loss: 2.0190
Total step : 106000      Batch loss: 1.5387      Epoch average loss: 2.0185
Total step : 106100      Batch loss: 1.9838      Epoch average loss: 2.0192
Total step : 106200      Batch loss: 1.8176      Epoch average loss: 2.0191
Total step : 106300      Batch loss: 1.8965      Epoch average loss: 2.0184
Total step : 106400      Batch loss: 1.8175      Epoch average loss: 2.0173
Total step : 106500      Batch loss: 1.8138      Epoch average loss: 2.0172
Total step : 106600      Batch loss: 1.7618      Epoch average loss: 2.0162
Total step : 106700      Batch loss: 2.1866      Epoch average loss: 2.0162
Total step : 106800      Batch loss: 1.8785      Epoch average loss: 2.0166
Total step : 106900      Batch loss: 2.4748      Epoch average loss: 2.0169
Total step : 107000      Batch loss: 2.0511      Epoch average loss: 2.0181
Total step : 107100      Batch loss: 1.9000      Epoch average loss: 2.0177
Total step : 107200      Batch loss: 1.5904      Epoch average loss: 2.0182
Total step : 107300      Batch loss: 1.7544      Epoch average loss: 2.0182
Total step : 107400      Batch loss: 1.7836      Epoch average loss: 2.0177
Total step : 107500      Batch loss: 1.7026      Epoch average loss: 2.0165
Total step : 107600      Batch loss: 1.7219      Epoch average loss: 2.0160
Total step : 107700      Batch loss: 1.0044      Epoch average loss: 2.0164
Total step : 107800      Batch loss: 1.6893      Epoch average loss: 2.0161
Total step : 107900      Batch loss: 2.0038      Epoch average loss: 2.0159
Total step : 108000      Batch loss: 1.5130      Epoch average loss: 2.0163
Total step : 108100      Batch loss: 1.6989      Epoch average loss: 2.0161
Total step : 108200      Batch loss: 1.9715      Epoch average loss: 2.0162
Total step : 108300      Batch loss: 1.9165      Epoch average loss: 2.0167
Total step : 108400      Batch loss: 1.8345      Epoch average loss: 2.0170
Total step : 108500      Batch loss: 1.8418      Epoch average loss: 2.0170
Total step : 108600      Batch loss: 2.4168      Epoch average loss: 2.0172
Total step : 108700      Batch loss: 2.7452      Epoch average loss: 2.0182
Total step : 108800      Batch loss: 2.5596      Epoch average loss: 2.0186
Total step : 108900      Batch loss: 1.6367      Epoch average loss: 2.0183
Total step : 109000      Batch loss: 3.7400      Epoch average loss: 2.0181
Total step : 109100      Batch loss: 2.8276      Epoch average loss: 2.0176
Total step : 109200      Batch loss: 1.9454      Epoch average loss: 2.0174
Total step : 109300      Batch loss: 1.9175      Epoch average loss: 2.0168
Total step : 109400      Batch loss: 1.6984      Epoch average loss: 2.0171
Total step : 109500      Batch loss: 1.7504      Epoch average loss: 2.0164
Total step : 109600      Batch loss: 1.6037      Epoch average loss: 2.0170
Total step : 109700      Batch loss: 1.6873      Epoch average loss: 2.0172
Total step : 109800      Batch loss: 1.8027      Epoch average loss: 2.0180
Total step : 109900      Batch loss: 1.6729      Epoch average loss: 2.0174
Total step : 110000      Batch loss: 1.7526      Epoch average loss: 2.0179
Total step : 110100      Batch loss: 2.5587      Epoch average loss: 2.0177
Total step : 110200      Batch loss: 2.1618      Epoch average loss: 2.0179
Total step : 110300      Batch loss: 1.6126      Epoch average loss: 2.0181
Total step : 110400      Batch loss: 2.4323      Epoch average loss: 2.0183
Total step : 110500      Batch loss: 3.7888      Epoch average loss: 2.0186
Total step : 110600      Batch loss: 1.5726      Epoch average loss: 2.0189
Total step : 110700      Batch loss: 1.6075      Epoch average loss: 2.0185
Total step : 110800      Batch loss: 1.6738      Epoch average loss: 2.0182
Total step : 110900      Batch loss: 2.7195      Epoch average loss: 2.0179
Total step : 111000      Batch loss: 1.7095      Epoch average loss: 2.0179
Total step : 111100      Batch loss: 1.9618      Epoch average loss: 2.0177
Total step : 111200      Batch loss: 1.5704      Epoch average loss: 2.0178
Total step : 111300      Batch loss: 2.9219      Epoch average loss: 2.0177
Total step : 111400      Batch loss: 1.8571      Epoch average loss: 2.0172
Total step : 111500      Batch loss: 1.8616      Epoch average loss: 2.0178
Total step : 111600      Batch loss: 3.6692      Epoch average loss: 2.0182
Total step : 111700      Batch loss: 3.6238      Epoch average loss: 2.0182
Total step : 111800      Batch loss: 1.8827      Epoch average loss: 2.0182
Total step : 111900      Batch loss: 1.7656      Epoch average loss: 2.0185
Total step : 112000      Batch loss: 1.6803      Epoch average loss: 2.0182
Total step : 112100      Batch loss: 2.0202      Epoch average loss: 2.0183
Total step : 112200      Batch loss: 1.7204      Epoch average loss: 2.0192
Total step : 112300      Batch loss: 3.4691      Epoch average loss: 2.0193
Total step : 112400      Batch loss: 1.7379      Epoch average loss: 2.0187
Total step : 112500      Batch loss: 3.1690      Epoch average loss: 2.0187
Total step : 112600      Batch loss: 1.6110      Epoch average loss: 2.0183
Total step : 112700      Batch loss: 2.8664      Epoch average loss: 2.0182
Total step : 112800      Batch loss: 2.3030      Epoch average loss: 2.0181
Total step : 112900      Batch loss: 1.9988      Epoch average loss: 2.0185
Total step : 113000      Batch loss: 3.0292      Epoch average loss: 2.0179
Total step : 113100      Batch loss: 1.6851      Epoch average loss: 2.0175
Total step : 113200      Batch loss: 1.7277      Epoch average loss: 2.0176
Total step : 113300      Batch loss: 1.7234      Epoch average loss: 2.0181
Total step : 113400      Batch loss: 1.8316      Epoch average loss: 2.0183
Total step : 113500      Batch loss: 2.3899      Epoch average loss: 2.0185
Total step : 113600      Batch loss: 2.1422      Epoch average loss: 2.0184
Total step : 113700      Batch loss: 2.0073      Epoch average loss: 2.0183
Total step : 113800      Batch loss: 1.9136      Epoch average loss: 2.0181
Total step : 113900      Batch loss: 1.6235      Epoch average loss: 2.0177
Total step : 114000      Batch loss: 1.8535      Epoch average loss: 2.0176
Total step : 114100      Batch loss: 1.5706      Epoch average loss: 2.0175
Total step : 114200      Batch loss: 2.8720      Epoch average loss: 2.0178
Total step : 114300      Batch loss: 1.8741      Epoch average loss: 2.0181
Total step : 114400      Batch loss: 1.5702      Epoch average loss: 2.0184
Total step : 114500      Batch loss: 1.8341      Epoch average loss: 2.0184
Total step : 114600      Batch loss: 1.9256      Epoch average loss: 2.0185
Total step : 114700      Batch loss: 1.9356      Epoch average loss: 2.0185
Total step : 114800      Batch loss: 1.5017      Epoch average loss: 2.0184
Total step : 114900      Batch loss: 2.0977      Epoch average loss: 2.0180
Total step : 115000      Batch loss: 1.7831      Epoch average loss: 2.0187
Total step : 115100      Batch loss: 1.7576      Epoch average loss: 2.0189
Total step : 115200      Batch loss: 1.8784      Epoch average loss: 2.0191
Total step : 115300      Batch loss: 1.6119      Epoch average loss: 2.0189
Total step : 115400      Batch loss: 1.5648      Epoch average loss: 2.0190
Total step : 115500      Batch loss: 2.0886      Epoch average loss: 2.0189
Total step : 115600      Batch loss: 1.6498      Epoch average loss: 2.0186
Total step : 115700      Batch loss: 1.8206      Epoch average loss: 2.0182
Total step : 115800      Batch loss: 1.6072      Epoch average loss: 2.0186
Total step : 115900      Batch loss: 1.6441      Epoch average loss: 2.0185
Total step : 116000      Batch loss: 3.5505      Epoch average loss: 2.0184
Total step : 116100      Batch loss: 2.0583      Epoch average loss: 2.0181
Total step : 116200      Batch loss: 1.8293      Epoch average loss: 2.0182
Total step : 116300      Batch loss: 1.8495      Epoch average loss: 2.0180
Total step : 116400      Batch loss: 1.6263      Epoch average loss: 2.0179
Total step : 116500      Batch loss: 1.6309      Epoch average loss: 2.0181
Total step : 116600      Batch loss: 1.8232      Epoch average loss: 2.0184
Total step : 116700      Batch loss: 1.7525      Epoch average loss: 2.0184
Total step : 116800      Batch loss: 3.7184      Epoch average loss: 2.0189
Total step : 116900      Batch loss: 1.7401      Epoch average loss: 2.0189
Total step : 117000      Batch loss: 1.7143      Epoch average loss: 2.0189
Total step : 117100      Batch loss: 1.5059      Epoch average loss: 2.0190
Total step : 117200      Batch loss: 1.6878      Epoch average loss: 2.0194
Total step : 117300      Batch loss: 2.0690      Epoch average loss: 2.0193
Total step : 117400      Batch loss: 3.4745      Epoch average loss: 2.0194
Total step : 117500      Batch loss: 1.6560      Epoch average loss: 2.0193
Total step : 117600      Batch loss: 3.1090      Epoch average loss: 2.0190
Total step : 117700      Batch loss: 3.2790      Epoch average loss: 2.0189
Total step : 117800      Batch loss: 1.6766      Epoch average loss: 2.0186
Total step : 117900      Batch loss: 1.7567      Epoch average loss: 2.0183
Total step : 118000      Batch loss: 2.3592      Epoch average loss: 2.0181
Total step : 118100      Batch loss: 3.6785      Epoch average loss: 2.0181
Total step : 118200      Batch loss: 1.6921      Epoch average loss: 2.0180
Total step : 118300      Batch loss: 1.6537      Epoch average loss: 2.0179
Total step : 118400      Batch loss: 2.2331      Epoch average loss: 2.0177
Total step : 118500      Batch loss: 1.9452      Epoch average loss: 2.0178
Total step : 118600      Batch loss: 1.6478      Epoch average loss: 2.0177
Total step : 118700      Batch loss: 1.5223      Epoch average loss: 2.0175
Total step : 118800      Batch loss: 3.5840      Epoch average loss: 2.0177
Total step : 118900      Batch loss: 1.9152      Epoch average loss: 2.0180
Total step : 119000      Batch loss: 2.5517      Epoch average loss: 2.0180
Total step : 119100      Batch loss: 3.1483      Epoch average loss: 2.0182
Total step : 119200      Batch loss: 2.5991      Epoch average loss: 2.0180
Total step : 119300      Batch loss: 2.4509      Epoch average loss: 2.0181
Total step : 119400      Batch loss: 1.7343      Epoch average loss: 2.0179
Total step : 119500      Batch loss: 1.7340      Epoch average loss: 2.0176
Total step : 119600      Batch loss: 1.5943      Epoch average loss: 2.0176
Total step : 119700      Batch loss: 3.2569      Epoch average loss: 2.0177
Total step : 119800      Batch loss: 3.1628      Epoch average loss: 2.0180
Total step : 119900      Batch loss: 1.4964      Epoch average loss: 2.0176
Total step : 120000      Batch loss: 1.6991      Epoch average loss: 2.0176
Total step : 120100      Batch loss: 1.6843      Epoch average loss: 2.0176
Total step : 120200      Batch loss: 1.5987      Epoch average loss: 2.0174
Total step : 120300      Batch loss: 1.6695      Epoch average loss: 2.0176
Total step : 120400      Batch loss: 1.9884      Epoch average loss: 2.0175
Total step : 120500      Batch loss: 2.0569      Epoch average loss: 2.0179
Total step : 120600      Batch loss: 1.9403      Epoch average loss: 2.0179
Total step : 120700      Batch loss: 1.9316      Epoch average loss: 2.0180
Total step : 120800      Batch loss: 1.4947      Epoch average loss: 2.0178
Total step : 120900      Batch loss: 2.0207      Epoch average loss: 2.0178
Total step : 121000      Batch loss: 1.3698      Epoch average loss: 2.0178
Total step : 121100      Batch loss: 1.7639      Epoch average loss: 2.0178
Total step : 121200      Batch loss: 1.8096      Epoch average loss: 2.0179
Total step : 121300      Batch loss: 1.5072      Epoch average loss: 2.0180
Total step : 121400      Batch loss: 2.0397      Epoch average loss: 2.0177
Total step : 121500      Batch loss: 1.7900      Epoch average loss: 2.0174
Total step : 121600      Batch loss: 1.7864      Epoch average loss: 2.0175
Total step : 121700      Batch loss: 1.6224      Epoch average loss: 2.0175
Total step : 121800      Batch loss: 1.6062      Epoch average loss: 2.0171
Total step : 121900      Batch loss: 2.5413      Epoch average loss: 2.0169
Total step : 122000      Batch loss: 1.6953      Epoch average loss: 2.0167
Total step : 122100      Batch loss: 1.5959      Epoch average loss: 2.0166
Total step : 122200      Batch loss: 3.5960      Epoch average loss: 2.0167
Total step : 122300      Batch loss: 1.7611      Epoch average loss: 2.0168
Total step : 122400      Batch loss: 2.9959      Epoch average loss: 2.0170
Total step : 122500      Batch loss: 2.4179      Epoch average loss: 2.0170
Total step : 122600      Batch loss: 3.3436      Epoch average loss: 2.0171
